Latitude (decimal degrees):	-1.215
Longitude (decimal degrees):	-71.446
Elevation (m):	144
Radiation database:	PVGIS-ERA5


Slope: 42 deg. (optimum)
Azimuth: - deg. 
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses (%):	16.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0030,0.0,0.0,0.0,0.0,0.0,25.28,1.38,0.0
20180101:0130,0.0,0.0,0.0,0.0,0.0,24.8,1.45,0.0
20180101:0230,0.0,0.0,0.0,0.0,0.0,24.41,1.38,0.0
20180101:0330,0.0,0.0,0.0,0.0,0.0,24.13,1.38,0.0
20180101:0430,0.0,0.0,0.0,0.0,0.0,24.12,1.24,0.0
20180101:0530,0.0,0.0,0.0,0.0,0.0,23.8,1.24,0.0
20180101:0630,0.0,0.0,0.0,0.0,0.0,23.65,1.17,0.0
20180101:0730,0.0,0.0,0.0,0.0,0.0,23.48,1.03,0.0
20180101:0830,0.0,0.0,0.0,0.0,0.0,23.31,0.97,0.0
20180101:0930,0.0,0.0,0.0,0.0,0.0,23.25,0.48,0.0
20180101:1030,0.0,0.0,0.0,0.0,-3.94,23.24,0.83,0.0
20180101:1130,659.43,151.18,74.56,2.23,9.86,23.22,0.97,0.0
20180101:1230,1711.71,436.5,147.01,7.69,23.59,24.17,0.41,0.0
20180101:1330,1821.78,442.22,183.31,11.12,37.03,25.78,0.62,0.0
20180101:1430,1746.63,329.12,270.64,13.47,49.81,27.34,1.03,0.0
20180101:1530,1778.62,354.45,254.66,15.03,60.94,28.05,1.38,0.0
20180101:1630,2220.56,547.25,228.75,19.97,67.71,28.62,1.38,0.0
20180101:1730,2271.58,595.02,218.41,20.49,66.06,29.53,0.62,0.0
20180101:1830,1542.96,335.95,195.32,12.59,57.24,30.25,1.1,0.0
20180101:1930,1169.05,184.19,216.12,9.23,45.33,29.34,1.17,0.0
20180101:2030,692.0,95.74,142.52,5.28,32.24,26.45,1.45,0.0
20180101:2130,205.74,16.25,66.38,2.08,18.66,25.48,1.31,0.0
20180101:2230,35.81,3.44,19.66,0.58,4.89,24.93,1.03,0.0
20180101:2330,0.0,0.0,0.0,0.0,0.0,24.67,0.97,0.0
20180102:0030,0.0,0.0,0.0,0.0,0.0,24.3,1.24,0.0
20180102:0130,0.0,0.0,0.0,0.0,0.0,23.91,1.24,0.0
20180102:0230,0.0,0.0,0.0,0.0,0.0,23.72,1.24,0.0
20180102:0330,0.0,0.0,0.0,0.0,0.0,23.42,1.31,0.0
20180102:0430,0.0,0.0,0.0,0.0,0.0,23.22,1.24,0.0
20180102:0530,0.0,0.0,0.0,0.0,0.0,22.99,1.17,0.0
20180102:0630,0.0,0.0,0.0,0.0,0.0,22.75,1.17,0.0
20180102:0730,0.0,0.0,0.0,0.0,0.0,22.71,1.03,0.0
20180102:0830,0.0,0.0,0.0,0.0,0.0,22.45,1.17,0.0
20180102:0930,0.0,0.0,0.0,0.0,0.0,22.27,1.03,0.0
20180102:1030,0.0,0.0,0.0,0.0,-4.05,22.16,0.9,0.0
20180102:1130,938.13,251.97,61.41,2.31,9.76,21.93,0.69,0.0
20180102:1230,1238.24,310.92,103.81,5.68,23.5,23.21,0.21,0.0
20180102:1330,2014.4,516.31,171.54,11.88,36.96,24.29,0.97,0.0
20180102:1430,2013.24,499.9,197.65,14.66,49.76,25.88,0.55,0.0
20180102:1530,1823.05,375.05,255.19,15.48,60.93,27.09,0.55,0.0
20180102:1630,1841.34,371.03,263.97,16.64,67.77,27.28,0.76,0.0
20180102:1730,1539.0,242.32,282.45,13.93,66.18,27.49,1.03,0.0
20180102:1830,2305.73,611.05,204.29,18.53,57.37,26.82,0.62,0.0
20180102:1930,2091.82,544.8,196.22,14.58,45.46,29.58,0.76,0.0
20180102:2030,1737.04,434.24,172.26,9.93,32.36,29.61,0.69,0.0
20180102:2130,1074.3,282.05,83.8,4.33,18.77,26.88,0.41,0.0
20180102:2230,712.44,209.58,37.39,1.11,5.0,26.4,0.62,0.0
20180102:2330,0.0,0.0,0.0,0.0,0.0,25.8,1.03,0.0
20180103:0030,0.0,0.0,0.0,0.0,0.0,25.36,1.17,0.0
20180103:0130,0.0,0.0,0.0,0.0,0.0,24.81,1.38,0.0
20180103:0230,0.0,0.0,0.0,0.0,0.0,24.51,1.52,0.0
20180103:0330,0.0,0.0,0.0,0.0,0.0,24.19,1.59,0.0
20180103:0430,0.0,0.0,0.0,0.0,0.0,23.89,1.38,0.0
20180103:0530,0.0,0.0,0.0,0.0,0.0,23.65,1.31,0.0
20180103:0630,0.0,0.0,0.0,0.0,0.0,23.22,1.24,0.0
20180103:0730,0.0,0.0,0.0,0.0,0.0,23.06,1.45,0.0
20180103:0830,0.0,0.0,0.0,0.0,0.0,22.84,1.38,0.0
20180103:0930,0.0,0.0,0.0,0.0,0.0,22.66,1.45,0.0
20180103:1030,0.0,0.0,0.0,0.0,-4.15,22.53,1.38,0.0
20180103:1130,1326.98,362.93,78.04,2.95,9.67,22.46,1.31,0.0
20180103:1230,1968.89,542.15,121.95,8.21,23.41,23.91,1.66,0.0
20180103:1330,2436.7,682.2,154.87,13.89,36.89,25.92,2.41,0.0
20180103:1430,2774.12,865.39,123.71,19.82,49.72,27.23,1.66,0.0
20180103:1530,2751.29,856.59,130.56,23.08,60.93,28.91,1.66,0.0
20180103:1630,2565.49,792.64,119.33,23.33,67.84,30.23,1.79,0.0
20180103:1730,2522.29,752.58,146.87,22.58,66.31,30.98,1.79,0.0
20180103:1830,2150.11,523.18,234.68,17.48,57.51,31.43,1.72,0.0
20180103:1930,1763.53,320.57,289.87,13.26,45.59,30.44,1.86,0.0
20180103:2030,1651.65,371.97,195.3,9.71,32.48,29.82,1.86,0.0
20180103:2130,1510.66,413.74,105.58,5.75,18.89,29.09,1.17,0.0
20180103:2230,611.84,178.38,37.65,1.07,5.1,28.46,0.97,0.0
20180103:2330,0.0,0.0,0.0,0.0,0.0,26.92,1.45,0.0
20180104:0030,0.0,0.0,0.0,0.0,0.0,26.15,1.1,0.0
20180104:0130,0.0,0.0,0.0,0.0,0.0,25.61,0.55,0.0
20180104:0230,0.0,0.0,0.0,0.0,0.0,25.11,0.83,0.0
20180104:0330,0.0,0.0,0.0,0.0,0.0,24.56,0.55,0.0
20180104:0430,0.0,0.0,0.0,0.0,0.0,24.14,0.76,0.0
20180104:0530,0.0,0.0,0.0,0.0,0.0,23.95,0.62,0.0
20180104:0630,0.0,0.0,0.0,0.0,0.0,23.98,0.41,0.0
20180104:0730,0.0,0.0,0.0,0.0,0.0,24.28,1.38,0.0
20180104:0830,0.0,0.0,0.0,0.0,0.0,24.02,1.24,0.0
20180104:0930,0.0,0.0,0.0,0.0,0.0,23.77,1.24,0.0
20180104:1030,0.0,0.0,0.0,0.0,-4.26,23.6,1.31,0.0
20180104:1130,1058.67,271.22,82.75,2.65,9.57,23.49,1.38,0.0
20180104:1230,1829.33,465.44,155.14,8.04,23.33,24.67,1.24,0.0
20180104:1330,2187.96,590.06,164.53,12.74,36.82,26.67,1.66,0.0
20180104:1430,2349.15,648.67,169.9,16.72,49.67,28.17,1.86,0.0
20180104:1530,2506.62,725.19,158.7,20.77,60.93,29.42,1.93,0.0
20180104:1630,2158.62,563.03,188.28,19.35,67.92,30.42,1.93,0.0
20180104:1730,2406.13,697.64,154.35,21.45,66.45,30.71,1.72,0.0
20180104:1830,2414.26,662.29,199.86,19.56,57.65,31.44,1.72,0.0
20180104:1930,1735.0,388.83,215.77,12.51,45.72,31.06,1.24,0.0
20180104:2030,1493.8,346.93,164.52,8.75,32.6,27.31,0.55,0.0
20180104:2130,944.14,223.02,100.94,4.28,19.0,27.22,0.14,0.0
20180104:2230,448.37,129.65,32.02,0.93,5.2,26.22,0.34,0.0
20180104:2330,0.0,0.0,0.0,0.0,0.0,25.83,0.34,0.0
20180105:0030,0.0,0.0,0.0,0.0,0.0,25.44,0.55,0.0
20180105:0130,0.0,0.0,0.0,0.0,0.0,24.9,0.48,0.0
20180105:0230,0.0,0.0,0.0,0.0,0.0,24.63,0.34,0.0
20180105:0330,0.0,0.0,0.0,0.0,0.0,24.48,0.14,0.0
20180105:0430,0.0,0.0,0.0,0.0,0.0,23.95,0.41,0.0
20180105:0530,0.0,0.0,0.0,0.0,0.0,23.88,0.55,0.0
20180105:0630,0.0,0.0,0.0,0.0,0.0,23.58,0.28,0.0
20180105:0730,0.0,0.0,0.0,0.0,0.0,24.07,0.69,0.0
20180105:0830,0.0,0.0,0.0,0.0,0.0,23.55,1.45,0.0
20180105:0930,0.0,0.0,0.0,0.0,0.0,22.99,1.17,0.0
20180105:1030,0.0,0.0,0.0,0.0,-4.36,22.77,1.03,0.0
20180105:1130,483.18,118.76,50.69,1.65,9.48,22.68,0.9,0.0
20180105:1230,904.4,147.34,155.41,5.49,23.25,23.11,1.31,0.0
20180105:1330,1435.66,236.56,244.25,9.89,36.76,24.23,1.24,0.0
20180105:1430,1549.2,236.25,287.07,12.33,49.63,25.43,1.17,0.0
20180105:1530,2134.21,497.12,243.0,17.8,60.93,26.84,1.1,0.0
20180105:1630,2079.92,468.92,257.09,18.86,68.0,28.15,0.97,0.0
20180105:1730,2078.31,500.47,229.84,18.63,66.59,28.81,0.76,0.0
20180105:1830,1806.0,458.23,173.83,14.65,57.8,29.42,0.34,0.0
20180105:1930,1800.61,425.93,196.02,12.66,45.85,27.98,0.83,0.0
20180105:2030,1482.25,380.37,130.85,8.43,32.73,28.75,0.41,0.0
20180105:2130,1175.87,275.75,126.24,5.17,19.11,27.19,0.41,0.0
20180105:2230,259.34,67.89,32.68,0.89,5.3,26.02,0.41,0.0
20180105:2330,0.0,0.0,0.0,0.0,0.0,25.45,0.97,0.0
20180106:0030,0.0,0.0,0.0,0.0,0.0,25.09,0.9,0.0
20180106:0130,0.0,0.0,0.0,0.0,0.0,24.79,0.76,0.0
20180106:0230,0.0,0.0,0.0,0.0,0.0,24.28,0.55,0.0
20180106:0330,0.0,0.0,0.0,0.0,0.0,24.04,0.34,0.0
20180106:0430,0.0,0.0,0.0,0.0,0.0,23.29,0.76,0.0
20180106:0530,0.0,0.0,0.0,0.0,0.0,23.01,0.55,0.0
20180106:0630,0.0,0.0,0.0,0.0,0.0,22.81,0.48,0.0
20180106:0730,0.0,0.0,0.0,0.0,0.0,23.25,0.28,0.0
20180106:0830,0.0,0.0,0.0,0.0,0.0,23.07,0.07,0.0
20180106:0930,0.0,0.0,0.0,0.0,0.0,23.02,0.14,0.0
20180106:1030,0.0,0.0,0.0,0.0,-4.47,22.77,0.28,0.0
20180106:1130,308.38,53.63,61.3,1.78,9.38,22.73,0.07,0.0
20180106:1230,1333.99,280.41,170.1,6.76,23.17,23.61,0.14,0.0
20180106:1330,2006.89,503.02,194.84,12.14,36.7,25.51,0.41,0.0
20180106:1430,2299.64,655.77,154.33,16.49,49.6,26.86,0.76,0.0
20180106:1530,2196.46,496.82,281.93,18.78,60.94,28.31,0.69,0.0
20180106:1630,2149.42,485.44,277.03,19.81,68.09,28.61,0.55,0.0
20180106:1730,2137.83,459.75,297.27,19.46,66.73,28.5,0.62,0.0
20180106:1830,1522.56,271.02,257.71,13.02,57.95,29.09,0.28,0.0
20180106:1930,1479.02,293.31,209.25,10.84,45.99,27.71,1.24,0.0
20180106:2030,1219.22,234.29,182.01,7.89,32.85,27.95,0.76,0.0
20180106:2130,1384.04,353.11,118.82,5.59,19.22,27.2,0.83,0.0
20180106:2230,743.28,202.59,54.7,1.36,5.4,26.9,1.03,0.0
20180106:2330,0.0,0.0,0.0,0.0,0.0,26.11,0.62,0.0
20180107:0030,0.0,0.0,0.0,0.0,0.0,25.45,1.24,0.0
20180107:0130,0.0,0.0,0.0,0.0,0.0,24.94,1.1,0.0
